% 
% 
@RELATION Tamura 
@ATTRIBUTE 1 REAL
@ATTRIBUTE 2 REAL
@ATTRIBUTE 3 REAL
@ATTRIBUTE 4 REAL
@ATTRIBUTE 5 REAL
@ATTRIBUTE 6 REAL
@ATTRIBUTE 7 REAL
@ATTRIBUTE 8 REAL
@ATTRIBUTE 9 REAL
@ATTRIBUTE 10 REAL
@ATTRIBUTE 11 REAL
@ATTRIBUTE 12 REAL
@ATTRIBUTE 13 REAL
@ATTRIBUTE 14 REAL
@ATTRIBUTE 15 REAL
@ATTRIBUTE 16 REAL
@ATTRIBUTE 17 REAL
@ATTRIBUTE 18 REAL
@ATTRIBUTE class {C02, C01, C03} 

@DATA 
2.92578125,4.431565971201519,2815.0,95.0,75.0,123.0,51.0,30.0,31.0,58.0,30.0,15.0,16.0,86.0,112.0,109.0,86.0,112.0,C01
3.0771484375,4.007484041872018,2753.0,29.0,54.0,110.0,113.0,71.0,63.0,47.0,25.0,27.0,66.0,179.0,129.0,68.0,62.0,48.0,C01
3.1083984375,4.6222015560186795,2560.0,92.0,116.0,163.0,85.0,75.0,78.0,138.0,29.0,36.0,54.0,133.0,88.0,55.0,46.0,96.0,C01
2.51123046875,3.7067413496935533,2920.0,35.0,47.0,94.0,82.0,53.0,44.0,65.0,14.0,17.0,18.0,61.0,78.0,89.0,105.0,122.0,C01
3.01806640625,3.736506635904292,2889.0,41.0,45.0,98.0,41.0,12.0,15.0,14.0,27.0,15.0,28.0,165.0,174.0,108.0,58.0,114.0,C01
3.13037109375,4.384600975240903,2647.0,72.0,61.0,167.0,104.0,51.0,76.0,92.0,40.0,26.0,41.0,84.0,102.0,81.0,100.0,100.0,C01
2.8251953125,3.3143009911122734,3055.0,33.0,38.0,96.0,89.0,54.0,28.0,36.0,36.0,34.0,38.0,94.0,85.0,50.0,48.0,30.0,C01
2.98388671875,4.035863690424993,2783.0,56.0,60.0,112.0,105.0,92.0,64.0,48.0,33.0,35.0,56.0,140.0,73.0,67.0,57.0,63.0,C01
2.9892578125,4.302742244296696,2714.0,41.0,57.0,111.0,123.0,122.0,133.0,109.0,28.0,49.0,71.0,107.0,62.0,38.0,36.0,43.0,C01
3.0263671875,4.3270346092980505,2666.0,59.0,74.0,107.0,136.0,105.0,71.0,60.0,33.0,62.0,80.0,109.0,61.0,55.0,75.0,91.0,C01
3.20166015625,3.887922787964163,2778.0,25.0,38.0,87.0,52.0,33.0,58.0,134.0,42.0,52.0,79.0,130.0,92.0,78.0,66.0,100.0,C01
3.126953125,5.337588796791398,2394.0,84.0,82.0,177.0,160.0,115.0,63.0,114.0,52.0,44.0,55.0,127.0,98.0,74.0,85.0,120.0,C01
3.130859375,4.276036516102108,2694.0,44.0,69.0,151.0,96.0,105.0,139.0,74.0,21.0,16.0,25.0,116.0,76.0,66.0,80.0,72.0,C01
3.20751953125,5.522148420011475,2425.0,99.0,133.0,220.0,108.0,77.0,61.0,62.0,58.0,36.0,34.0,127.0,109.0,79.0,98.0,118.0,C01
3.22998046875,4.682959914497337,2642.0,56.0,51.0,132.0,96.0,87.0,51.0,70.0,28.0,32.0,49.0,110.0,76.0,91.0,116.0,157.0,C01
3.16015625,4.1292075839149405,2821.0,95.0,100.0,123.0,74.0,52.0,46.0,46.0,33.0,17.0,40.0,120.0,94.0,60.0,56.0,67.0,C01
2.83544921875,3.478537241001151,2965.0,46.0,43.0,104.0,83.0,78.0,68.0,76.0,44.0,24.0,43.0,72.0,58.0,45.0,39.0,56.0,C01
2.98095703125,4.363810093964301,2678.0,51.0,65.0,118.0,85.0,68.0,93.0,135.0,118.0,47.0,39.0,90.0,85.0,51.0,63.0,58.0,C01
3.1591796875,4.377724092155944,2678.0,30.0,36.0,135.0,115.0,59.0,49.0,122.0,55.0,59.0,87.0,132.0,81.0,70.0,75.0,61.0,C01
2.97802734375,4.453889448539815,2683.0,45.0,46.0,105.0,79.0,61.0,111.0,174.0,67.0,58.0,44.0,101.0,75.0,57.0,60.0,78.0,C01
2.94580078125,4.798221111614774,2538.0,37.0,45.0,124.0,146.0,141.0,168.0,117.0,40.0,49.0,77.0,99.0,87.0,51.0,63.0,62.0,C01
3.3291015625,4.876930454352085,2521.0,55.0,59.0,202.0,148.0,109.0,78.0,33.0,21.0,39.0,48.0,121.0,107.0,69.0,104.0,130.0,C01
2.71142578125,3.7349848689887155,2858.0,32.0,44.0,65.0,38.0,37.0,47.0,124.0,113.0,81.0,55.0,110.0,60.0,68.0,60.0,52.0,C01
3.1142578125,3.8501375844882233,2824.0,56.0,55.0,86.0,45.0,34.0,39.0,41.0,60.0,101.0,110.0,143.0,76.0,44.0,72.0,58.0,C01
2.9052734375,4.557996379375217,2909.0,88.0,42.0,32.0,16.0,11.0,14.0,353.0,131.0,17.0,16.0,21.0,17.0,16.0,19.0,142.0,C02
3.02978515625,4.171278895516573,2871.0,132.0,45.0,58.0,24.0,21.0,11.0,124.0,351.0,86.0,34.0,36.0,16.0,11.0,10.0,14.0,C02
3.0732421875,5.8907417621236275,2468.0,128.0,61.0,67.0,43.0,37.0,97.0,592.0,41.0,14.0,16.0,20.0,20.0,16.0,35.0,189.0,C02
3.00732421875,4.771181647110146,2741.0,91.0,82.0,75.0,34.0,14.0,19.0,126.0,387.0,71.0,38.0,49.0,19.0,17.0,22.0,59.0,C02
3.03955078125,4.162765940504438,2745.0,20.0,22.0,27.0,23.0,22.0,50.0,512.0,70.0,27.0,17.0,27.0,17.0,19.0,38.0,208.0,C02
2.88720703125,4.972333507175992,2722.0,142.0,53.0,65.0,26.0,19.0,19.0,129.0,435.0,80.0,36.0,45.0,23.0,20.0,17.0,13.0,C02
2.8037109375,3.556421098015836,3117.0,61.0,37.0,34.0,18.0,19.0,25.0,273.0,138.0,22.0,7.0,20.0,10.0,18.0,12.0,33.0,C02
2.787109375,3.6227952575806994,3064.0,55.0,25.0,27.0,14.0,13.0,35.0,293.0,91.0,19.0,12.0,21.0,17.0,18.0,41.0,99.0,C02
2.20751953125,3.257314509467518,3318.0,19.0,16.0,26.0,22.0,16.0,35.0,280.0,11.0,9.0,11.0,12.0,11.0,10.0,22.0,26.0,C02
2.26806640625,2.6599948401347766,3426.0,19.0,20.0,28.0,13.0,12.0,16.0,107.0,106.0,30.0,13.0,13.0,9.0,5.0,11.0,16.0,C02
2.8369140625,4.2922230116959685,2821.0,17.0,12.0,24.0,13.0,21.0,54.0,460.0,47.0,19.0,20.0,21.0,19.0,18.0,38.0,240.0,C02
2.78076171875,3.6989159653182897,2826.0,20.0,18.0,19.0,23.0,10.0,14.0,348.0,278.0,26.0,22.0,39.0,20.0,26.0,29.0,126.0,C02
